1	1
101	101
201	201
301	301
401	401
501	501
601	601
701	701
801	801
901	901
1001	1001
1101	1101
1201	1201
1301	1301
1401	1401
1501	1501
1601	1601
1701	1701
1801	1801
1901	1901
2001	2001
2101	2101
2201	2201
2301	2301
2401	2401
2501	2501
2601	2601
2701	2701
2801	2801
2901	2901
3001	3001
3101	3101
3201	3201
3301	3301
3401	3401
3501	3501
3601	3601
3701	3701
3801	3801
3901	3901
4001	4001
4101	4101
4201	4201
4301	4301
4401	4401
4501	4501
4601	4601
4701	4701
4801	4801
4901	4901
5001	5001
5101	5101
5201	5201
5301	5301
5401	5401
5501	5501
5601	5601
5701	5701
5801	5801
5901	5901
6001	6001
6101	6101
6201	6201
6301	6301
6401	6401
6501	6501
6601	6601
6701	6701
6801	6801
6901	6901
7001	7001
7101	7101
7201	7201
7301	7301
7401	7401
7501	7501
7601	7601
7701	7701
7801	7801
7901	7901
8001	8001
8101	8101
8201	8201
8301	8301
8401	8401
8501	8501
8601	8601
8701	8701
8801	8801
8901	8901
9001	9001
9101	9101
9201	9201
9301	9301
9401	9401
9501	9501
9601	9601
9701	9701
9801	9801
9901	9901
10001	10001
10101	10101
10201	10201
10301	10301
10401	10401
10501	10501
10601	10601
10701	10701
10801	10801
10901	10901
11001	11001
11101	11101
11201	11201
11301	11301
11401	11401
11501	11501
11601	11601
11701	11701
11801	11801
11901	11901
12001	12001
12101	12101
12201	12201
12301	12301
12401	12401
12501	12501
12601	12601
12701	12701
12801	12801
12901	12901
13001	13001
13101	13101
13201	13201
13301	13301
13401	13401
13501	13501
13601	13601
13701	13701
13801	13801
13901	13901
14001	14001
14101	14101
14201	14201
14301	14301
14401	14401
14501	14501
14601	14601
14701	14701
14801	14801
14901	14901
15001	15001
15101	15101
15201	15201
15301	15301
15401	15401
15501	15501
15601	15601
15701	15701
15801	15801
15901	15901
16001	16001
16101	16101
16201	16201
16301	16301
16401	16401
16501	16501
16601	16601
16701	16701
16801	16801
16901	16901
17001	17001
17101	17101
17201	17201
17301	17301
17401	17401
17501	17501
17601	17601
17701	17701
17801	17801
17901	17901
18001	18001
18101	18101
18201	18201
18301	18301
18401	18401
18501	18501
18601	18601
18701	18701
18801	18801
18901	18901
19001	19001
19101	19101
19201	19201
19301	19301
19401	19401
19501	19501
19601	19601
19701	19701
19801	19801
19901	19901
20001	20001
20101	20101
20201	20201
20301	20301
20401	20401
20501	20501
20601	20601
20701	20701
20801	20801
20901	20901
21001	21001
21101	21101
21201	21201
21301	21301
21401	21401
21501	21501
21601	21601
21701	21701
21801	21801
21901	21901
22001	22001
22101	22101
22201	22201
22301	22301
22401	22401
22501	22501
22601	22601
22701	22701
22801	22801
22901	22901
23001	23001
23101	23101
23201	23201
23301	23301
23401	23401
23501	23501
23601	23601
23701	23701
23801	23801
23901	23901
24001	24001
24101	24101
24201	24201
24301	24301
24401	24401
24501	24501
24601	24601
24701	24701
24801	24801
24901	24901
25001	25001
25101	25101
